chp	id	graphic	desc	short	match.altId	match.graphic	match.credit	options	text	zoteroID	zoteroURL
"01"	"4"	"CH1_001.jpg"	null	""				[]	null	null	null	
"01"	"5"	"CH1_002.jpg"	"1.1. Diagram of axismundi"	"axismundi"				[]	null	null	null	
"01"	"6"	"CH1_003.jpg"	"1.2. Lion Panel, Chauvet Cave, southern Ard&#x00E8;che (Rh&#x00F4;ne Valley), France. c. 30,000 b.c.e."	"Chauvet Cave"				[]	null	null	null	
"01"	"7"	"CH1_004.jpg"	"1.3. Menhirs, Carnac, France. 3rd millennium b.c.e."	"Carnac"				[]	null	null	null	
"01"	"8"	"CH1_005.jpg"	"1.4. Stonehenge near Salisbury, Wiltshire,England. c. 2750&#x2013;1500 b.c.e."	"Stonehenge"	1800431	http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/1800431.jpg	© Elizabeth Barlow Rogers	[]	null	null	null	
"01"	"9"	"CH1_006.jpg"	"1.5. Plan of Stonehenge"	"Stonehenge"				[]	null	null	null	
"01"	"10"	"CH1_007.jpg"	"1.6. Woodhenge, Cahokia, Illinois. 1100&#x2013;1200 c.e. Painting by Lloyd K.Townsend"	"Cahokia"	3900004	http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900004.jpg	© Elizabeth Barlow Rogers	[{"altId":"3900006","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900006.jpg","subject":["Cahokia"],"sub":["Woodhenge"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900015","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900015.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900022","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900022.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900023","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900023.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900024","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900024.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900025","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900025.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900026","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900026.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"]},{"altId":"3900027","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900027.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"3900028","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/3900028.jpg","subject":["Cahokia"],"sub":["Woodhenge Reconstruction"],"credit":["© Elizabeth Barlow Rogers"]}]	null	null	null	
"01"	"11"	"CH1_008.jpg"	"1.7. Newark Earthworks, Newark, Ohio. 100 b.c.e. and 400 c.e."	"Newark Earthworks"				[]	null	null	null	
"01"	"12"	"CH1_009.jpg"	"1.8. Nanna Ziggurat, Ur (modern Muqaiyir, Iraq). c.2100&#x2013;2050 b.c.e."	"Nanna Ziggurat"				[]	null	null	null	
"01"	"13"	"CH1_010.jpg"	"1.9. Pyramids at Giza, Egypt. Fourth dynasty,c. 2601&#x2013;2515 b.c.e."	"Pyramids at Giza"				[]	null	null	null	
"01"	"14"	"CH1_011.jpg"	"Above left: 1.10. Diagram of the cosmological elevation of a Hindu temple. Adapted from George Michell, The Hindu Temple"	"Hindu temple"				[]	"The Hindu Temple"	null	null	
"01"	"15"	"CH1_012.jpg"	"Above: 1.11. Hindu temple, Galaganatha temple, Pattadakal, Karnataka,India. 8th century c.e."	"Galaganatha temple"				[]	null	null	null	
"01"	"16"	"CH1_013.jpg"	"Right: 1.12. Diagram of one of the mandala forms that serve as the plans of Hindu temples. Mandalas,geometric designs symbolizing the universe, are used as aids tomeditation in Hinduism and Buddhism. Hindu mandalas consist ofsquares arranged concentrically around a central squarerepresenting Brahman, the absolute being and sacred powerpervading the universe. The surrounding squares are occupied bya hierarchy of lesser divinities."	"mandala forms"				[]	null	null	null	
"01"	"17"	"CH1_014.jpg"	"1.13. Wall painting of a garden from a tomb in Thebes, Egypt. c. 1400 b.c.e."	"Thebes"				[]	null	null	null	
"01"	"18"	"CH1_015.jpg"	"1.14. Cuneiform map of Nippur (Iraq), c. 1500 b.c.e."	"Cuneiform map of Nippur"				[]	null	null	null	
"01"	"19"	"CH1_016.jpg"	"Below: 1.15. Assurbanipal and His Queen Feasting in a Garden, Relief from the Assyrian royal palace at Nineveh (modern Kuyunjik, Iraq).668&#x2013;627 b.c.e. Alabaster. The British Museum, London"	"Assurbanipal Relief Nineveh"				[]	null	null	null	
"01"	"20"	"CH1_017.jpg"	"1.16. Temples of Mentuhotep II (ruled 2009&#x2013;1997 b.c.e.) and Queen Hatshepsut(ruled 1478&#x2013; 1458 b.c.e.), Deir el-Bahri, Egypt"	"Temples of Mentuhotep II"				[]	null	null	null	
"01"	"21"	"CH1_018.jpg"	"1.17. Obelisk, Abusir, Egypt. This early version of the building-form obelisk is a limestone shaft 118feet (36 meters) high, set upon a truncated pyramid that rises65.5 feet (20 meters) from the ground."	"Obelisk, Abusir"				[]	null	null	null	
"01"	"22"	"CH1_019.jpg"	"Below: 1.18. Expedition to Punt. Relief from the Temple of Queen Hatshepsut. Deir el-Bahri, Egypt"	"Temple of Queen Hatshepsut"				[]	null	null	null	
"01"	"23"	"CH1_020.jpg"	"1.19. Obelisks erected by Ramesses II (ruled 1279&#x2013;1212 b.c.e.) at temple of Amenhotep III (ruled 1390&#x2013;1352b.c.e.), Luxor,Egypt"	"Obelisks erected by Ramesses II"				[]	null	null	null	
"01"	"24"	"CH1_021.jpg"	"Right: 1.20. Obelisk of Tuthmose III (ruled 1479&#x2013;1425 b.c.e.), Central Park, New York City. Erected in presentlocation west of The Metropolitan Museum of Art in 1880, this modest obelisk is known as Cleopatra's Needle."	"Cleopatra's Needle"				[]	null	null	null	
"01"	"25"	"CH1_022.jpg"	"1.21. Cave sacred to Zeus on the eastern face of Mount Ida, Crete. The cave playsa part in the Greek myth in which Gaia (Earth) and Uranos (Sky)gave birth to Kronos and Rhea, the parents of Zeus. Jealous to preserve his authority, Kronosdevoured his offspring. Rhea'ssuccessful plot to hide the infant Zeus within the Idaian cave&#x2014;there to benursed by nymphs and fed goat's milk and honey&#x2014;allowedhim to survive, depose Kronos, and become the supreme male godand subsequent ruler of the Greek pantheon. That there was ashrine at this site in Minoan times, is attested by the manyartifacts found there, including shields, spears, gold and ivoryvotive objects, figurines, and clay tablets, as well as depositsof ash and the bones of sacrificed animals."	"Mount Ida, Crete"	2100275	http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100275.jpg	© Elizabeth Barlow Rogers	[{"altId":"2100002","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100002.jpg","subject":["Mount Ida"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100021","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100021.jpg","subject":["Mount Ida"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100022","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100022.jpg","subject":["Mount Ida"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100023","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100023.jpg","subject":["Mount Ida"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100167","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100167.jpg","subject":["Mount Ida"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100168","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100168.jpg","subject":["Mount Ida"],"sub":["Cave Sacred to Zeus"],"credit":["© Elizabeth Barlow Rogers"]}]	null	null	null	
"01"	"26"	"CH1_023.jpg"	"Right: 1.22. The Earth Goddess, Potnia, had a son andconsort, Velchanos, or Kouros, a precursor of Zeus. His ritual death symbolized the annual deathand rebirth of nature."	"Earth Goddess, Potnia"				[]	null	null	null	
"01"	"27"	"CH1_024.jpg"	"1.23. Plan of \"Labyrinth\" at Knossos, Crete, Greece. Minoan period, between 2000 b.c.e. and 1470 b.c.e.A Storerooms. B ThroneRoom. C Pillar Hall. DCentral Court. E Grand Staircase. F Hall of the Double Axes"	"Knossos, Crete"				[{"altId":"2100032","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100032.jpg","subject":["Knossós"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100033","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100033.jpg","subject":["Knossós"],"sub":["Store Room, West Wing"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100034","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100034.jpg","subject":["Knossós"],"sub":["Store Room, West Wing"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100035","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100035.jpg","subject":["Knossós"],"sub":["Palace"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100036","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100036.jpg","subject":["Knossós"],"sub":["Cistern"],"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100037","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100037.jpg","subject":["Knossós"],"sub":null,"credit":["© Elizabeth Barlow Rogers"]},{"altId":"2100038","graphic":"http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100038.jpg","subject":["Knossós"],"sub":["Entrance to Theatral Area"],"credit":["© Elizabeth Barlow Rogers"]}]	null	null	null	
"01"	"28"	"CH1_025.jpg"	"1.24. Central Court, Phaistos, Crete. Minoanperiod, between 2000 b.c.e. and 1470b.c.e. On one side Phaistos faces the Libyan Sea and on theother, visible in the photograph, twin-peaked Mount Ida."	"Central Court, Phaistos, Crete"	2100270	http://community.village.virginia.edu/cultural_landscapes/media/images/FLS_Slide_Collection/medium/2100270.jpg	© Elizabeth Barlow Rogers	[]	null	null	null	
