07001,07,Chiswick
07002,07,Villa Rotunda
07003,07,Tusci
07004,07,Laurentinum
07005,07,Stowe
07006,07,Stourhead
07007,07,Painshill
07008,07,Esher Place
07009,07,Twickenham
07010,07,Claremont
07011,07,Blenheim
07012,07,Rousham
07013,07,Castle Howard
07014,07,The Leasowes
07015,07,Woburn Farm
07016,07,Duncombe Park
07017,07,Studley Royal
07018,07,Kirkharle Hall
07019,07,Kiddington Hall
07020,07,Petworth
07021,07,Broadlands
07022,07,Kew Royal Botanical Gardens
07023,07,South Hampton 
07024,07,Wentworth
07025,07,Endsleigh 
07026,07,Bath Queens Square
07027,07,Bath Royal Cresent
07028,07,Bath Lansdown Cresent
07029,07,Regent's Park
07030,07,Sezincote
07031,07,Muskau
07032,07,Sansoussi
07033,07,Charlottenhof
07034,07,Charlottenberg
07035,07,Tiergarten
07036,07,Magdenburg
